ListingId	ListingDate	SaleDate	SaleAmount	Slug
176241514	2019-01-09	2020-03-05	$292,000	
176269093	2019-01-14	2020-03-05	By Negotiation	
176289336	2019-01-23	2020-03-05	$198,000	
176360309	2019-02-06	2020-03-05	By Negotiation	
176382564	2019-02-12	2020-03-05	$852,500	
176383108	2019-02-12	2020-03-05	$650,000	
176432578	2019-02-21	2020-03-05	$635,000	
176448299	2019-02-27	2021-10-12	$390,000	unit-2-69-hall-best-lane-gungahlin-act-2912
176451437	2019-02-27	2020-03-11	$2,750,000	
176457246	2019-02-27	2020-03-05	$1,430,000	
176435552	2019-02-28	2020-03-05	$605,000	
176461854	2019-02-28	2020-03-05	$1,100,000	
179847770	2019-03-04	2021-09-03	$949,900	balcombe-terraces-unit-15-luxury-huge-4-level-4-bedroom-townhome-denman-prospect-act-2611?tid=179847770
176547212	2019-03-21	2020-03-05	$495,000	
176574316	2019-03-27	2020-03-05	By Negotiation	
176575611	2019-03-28	2020-03-11	$285,000	
176590427	2019-04-03	2020-03-05	$989,151	
176626962	2019-04-09	2020-03-05	By Negotiation	
176636345	2019-04-12	2020-03-05	$610,000	
179878073	2019-04-16	2021-09-13	$330,000	essential-1-bedroom-courtyard-apartment-denman-prospect-act-2611?tid=179878073
176654437	2019-04-17	2020-03-11	$230,000	
176692777	2019-04-30	2020-03-05	$350,000	
176697571	2019-05-02	2021-09-15	By Negotiation	unit-48-77-gozzard-street-gungahlin-act-2912
176713518	2019-05-06	2020-03-11	By Negotiation	
176725372	2019-05-09	2020-03-05	$553,000	
176736602	2019-05-13	2020-03-05	$260,000	
176775625	2019-05-22	2020-03-05	$442,000	
176784058	2019-05-23	2020-03-05	$490,000	
176806690	2019-05-29	2020-03-05	By Negotiation	
176839333	2019-06-05	2020-03-05	$890,000	
176859134	2019-06-07	2020-03-05	$780,000	
176938304	2019-06-27	2020-03-05	$1,800,000	
176965603	2019-07-04	2020-03-05	$545,000	
176966301	2019-07-04	2020-03-05	$367,000	
176966329	2019-07-04	2020-03-05	$290,000	
176952192	2019-07-05	2020-03-11	$345,000	
176972731	2019-07-05	2020-03-05	$428,000	
177034952	2019-07-22	2020-03-05	By Negotiation	
176918752	2019-07-31	2020-03-05	By Negotiation	
177032493	2019-08-01	2020-03-05	$315,000	
177077475	2019-08-01	2020-03-05	$280,000	
177942206	2019-08-01	2020-03-05	$745,000	
177089171	2019-08-05	2020-03-11	$1,450,000	
