ListingId	ListingDate	SaleDate	SaleAmount	Slug
177743349	2020-01-01	2020-03-05	By Negotiation	
177738712	2020-01-06	2020-03-05	$605,000	
177761505	2020-01-06	2020-03-05	By Negotiation	
177764434	2020-01-06	2020-03-05	By Negotiation	
177717712	2020-01-07	2020-03-05	$870,000	
177784373	2020-01-07	2020-03-05	Auction	
177785477	2020-01-07	2020-03-05	$592,000	
177785614	2020-01-07	2020-03-05	$940,000	
177788835	2020-01-07	2020-03-11	By Negotiation	
177788953	2020-01-07	2020-03-05	By Negotiation	
177789667	2020-01-07	2020-03-05	$346,500	
177791067	2020-01-07	2020-03-05	Auction - $595,000	
177764447	2020-01-08	2020-03-05	Auction - $650,000	
177790328	2020-01-08	2020-03-05	$1,375,000	
177792039	2020-01-08	2020-03-11	$637,500	
177793582	2020-01-08	2020-03-05	$795,000	
177795542	2020-01-08	2020-03-05	Auction - $775,000	
177795681	2020-01-08	2020-03-05	$505,000	
177795693	2020-01-08	2020-03-05	$777,000	
177795699	2020-01-08	2020-03-05	$560,000	
177795818	2020-01-08	2020-03-05	Auction - $750,000	
177795849	2020-01-08	2020-03-05	$510,000	
177795850	2020-01-08	2020-03-05	$910,000	
177795919	2020-01-08	2020-03-11	$487,500	
177796036	2020-01-08	2020-03-05	By Negotiation	
177797052	2020-01-08	2020-03-05	$671,000	
177794062	2020-01-09	2020-03-05	By Negotiation	
177796005	2020-01-09	2020-03-11	$770,000	
177797144	2020-01-09	2020-03-05	$460,000	
177797185	2020-01-09	2020-03-05	$335,000	
177797320	2020-01-09	2020-03-05	$630,000	
177798874	2020-01-09	2020-03-05	$537,000	
177801234	2020-01-09	2020-03-05	$745,000	
178015575	2020-01-10	2020-03-05	$659,000	
177807509	2020-01-12	2020-03-05	Auction	
177807606	2020-01-12	2020-03-05	Auction - $780,000	
177808940	2020-01-12	2020-03-05	$632,000	
177809037	2020-01-12	2020-03-05	$760,000	
177783441	2020-01-13	2020-03-11	$497,500	
177808246	2020-01-13	2020-03-05	$570,000	
177815020	2020-01-13	2020-03-05	By Negotiation	
177640941	2020-01-14	2020-03-05	$300,000	
177814391	2020-01-14	2020-03-05	$512,500	
177815836	2020-01-14	2020-03-05	Auction - $583,000	
177816598	2020-01-14	2020-03-05	$700,000	
177817844	2020-01-14	2020-03-11	$436,000	
177820785	2020-01-14	2020-03-05	$488,000	
177820977	2020-01-14	2020-03-05	$550,000	
177821056	2020-01-14	2020-03-05	$555,000	
177821169	2020-01-14	2020-03-05	Auction - $808,500	
177821186	2020-01-14	2020-03-05	Auction - $1,080,000	
177677739	2020-01-15	2020-03-05	Auction - $1,125,050	
177817504	2020-01-15	2020-03-05	Auction - $970,000	
177818743	2020-01-15	2020-03-05	Auction	
177820675	2020-01-15	2020-03-05	$532,000	
177821160	2020-01-15	2020-03-05	Auction - $595,000	
177821608	2020-01-15	2020-03-05	Auction - $828,000	
177821686	2020-01-15	2020-03-05	$680,000	
177821824	2020-01-15	2020-03-05	Auction	
177821828	2020-01-15	2020-03-05	By Negotiation	
177822004	2020-01-15	2020-03-05	$440,000	
177822128	2020-01-15	2020-03-05	$595,000	
177822138	2020-01-15	2020-03-05	By Negotiation	
177822278	2020-01-15	2020-03-05	By Negotiation	
177822418	2020-01-15	2020-03-11	$480,000	
177822638	2020-01-15	2020-03-05	$650,000	
177823024	2020-01-15	2020-03-05	Auction - $920,000	
177823097	2020-01-15	2020-03-05	$585,000	
177823098	2020-01-15	2020-03-05	$300,000	
177823139	2020-01-15	2020-03-05	$685,000	
177823162	2020-01-15	2020-03-05	Auction - $475,000	
177823303	2020-01-15	2020-03-05	$475,000	
177823306	2020-01-15	2020-03-05	$610,000	
177823349	2020-01-15	2020-03-05	By Negotiation	
177823956	2020-01-15	2020-03-05	$352,000	
177824329	2020-01-15	2020-03-05	$472,750	
177824618	2020-01-15	2020-03-05	$606,000	
177826890	2020-01-15	2020-03-05	Auction	
177827023	2020-01-15	2020-03-05	Auction	
177827024	2020-01-15	2020-03-05	Auction	
177827025	2020-01-15	2020-03-05	Auction	
177827225	2020-01-15	2020-03-05	Auction	
177827275	2020-01-15	2020-03-05	By Negotiation	
177827293	2020-01-15	2020-03-05	Auction	
177827294	2020-01-15	2020-03-05	Auction	
177827344	2020-01-15	2020-03-05	By Negotiation	
177827432	2020-01-15	2020-03-05	$385,000	
177827465	2020-01-15	2020-03-05	$738,000	
177827490	2020-01-15	2020-03-05	By Negotiation	
177827492	2020-01-15	2020-03-05	By Negotiation	
177827502	2020-01-15	2020-03-05	Auction	
177827510	2020-01-15	2020-03-05	By Negotiation	
177827512	2020-01-15	2020-03-11	By Negotiation	
177827517	2020-01-15	2020-03-05	Auction - Sold Prior - $527,000	
177827548	2020-01-15	2020-03-05	Auction	
177827550	2020-01-15	2020-03-05	$750,000	
177827556	2020-01-15	2020-03-05	$548,500	
177827566	2020-01-15	2020-03-05	Auction	
177827629	2020-01-15	2020-03-05	Auction	
177827698	2020-01-15	2020-03-05	By Negotiation	
177827701	2020-01-15	2020-03-05	By Negotiation	
177827776	2020-01-15	2020-03-05	Auction	
177827829	2020-01-15	2020-03-05	By Negotiation	
177827837	2020-01-15	2020-03-05	By Negotiation	
177827165	2020-01-16	2020-03-05	Auction - $935,000	
177827695	2020-01-16	2020-03-05	$615,000	
177827724	2020-01-16	2020-03-05	$595,000	
177828239	2020-01-16	2020-03-05	Auction	
177828577	2020-01-16	2020-03-05	Auction - $1,295,000	
177829992	2020-01-16	2020-03-05	$455,000	
177830295	2020-01-16	2020-03-05	$487,500	
177830757	2020-01-16	2020-03-05	By Negotiation	
177831528	2020-01-16	2020-03-05	$415,000	
177833030	2020-01-16	2020-03-05	$500,000	
177833457	2020-01-16	2020-03-05	Auction	
177833517	2020-01-16	2020-03-05	$721,000	
177820895	2020-01-17	2020-03-05	$660,000	
177835823	2020-01-17	2020-03-05	$487,000	
177840199	2020-01-20	2020-03-05	By Negotiation	
177841553	2020-01-20	2020-03-05	$422,000	
177843634	2020-01-20	2020-03-05	$960,000	
179849036	2020-01-20	2021-08-31	$620,000	2-gribble-street-gungahlin-act-2912?tid=179849036
177830174	2020-01-21	2020-03-05	$805,000	
177836358	2020-01-21	2020-03-05	$450,000	
177845939	2020-01-21	2020-03-05	Auction	
177846105	2020-01-21	2020-03-05	$349,000	
177846254	2020-01-21	2020-03-05	By Negotiation	
177846515	2020-01-21	2020-03-05	$515,000	
177846868	2020-01-21	2020-03-05	$675,000	
177847459	2020-01-21	2020-03-05	Auction	
177848983	2020-01-21	2020-03-11	$520,000	
177849209	2020-01-21	2020-03-05	$440,000	
177849837	2020-01-21	2020-03-05	$587,000	
177853325	2020-01-21	2020-03-05	Auction - $770,000	
177853444	2020-01-21	2020-03-05	By Negotiation	
177853659	2020-01-21	2020-03-05	$447,500	
177853680	2020-01-21	2020-03-05	$530,000	
177853796	2020-01-21	2020-03-05	$425,000	
177820892	2020-01-22	2020-03-05	$650,000	
177830115	2020-01-22	2020-03-05	By Negotiation	
177853445	2020-01-22	2020-03-05	Auction - $770,000	
177854091	2020-01-22	2020-03-05	Auction - $627,000	
177854363	2020-01-22	2020-03-05	Auction - Sold Prior - $635,000	
177854846	2020-01-22	2020-03-05	$478,500	
177854918	2020-01-22	2020-03-05	Auction - $627,000	
177854929	2020-01-22	2020-03-05	$560,000	
177856710	2020-01-22	2020-03-05	$625,000	
177857615	2020-01-22	2020-03-05	Auction	
177859319	2020-01-22	2020-03-05	Auction	
177859529	2020-01-22	2020-03-05	Auction	
177859658	2020-01-22	2020-03-05	By Negotiation	
177859669	2020-01-22	2020-03-05	$585,000	
177859759	2020-01-22	2020-03-05	Auction - $621,000	
177859792	2020-01-22	2020-03-05	Auction - Sold Prior - $1,018,000	
177859838	2020-01-22	2020-03-05	Auction - Sold Prior - $544,000	
177859846	2020-01-22	2020-03-05	Auction	
177859866	2020-01-22	2020-03-05	Auction - $2,500,000	
177859937	2020-01-22	2020-03-05	$600,000	
177859967	2020-01-22	2020-03-05	By Negotiation	
177859969	2020-01-22	2020-03-05	Auction - $880,500	
177854825	2020-01-23	2020-03-05	By Negotiation	
177858261	2020-01-23	2020-03-05	Auction - $570,000	
177858591	2020-01-23	2020-03-05	$395,000	
177859735	2020-01-23	2020-03-05	Auction	
177860048	2020-01-23	2020-03-05	$420,000	
177860140	2020-01-23	2020-03-05	Auction - $1,300,000	
177860145	2020-01-23	2020-03-05	Auction - $985,000	
177860262	2020-01-23	2020-03-05	Auction	
177860280	2020-01-23	2020-03-05	By Negotiation	
177860687	2020-01-23	2020-03-11	By Negotiation	
177860819	2020-01-23	2020-03-05	Auction	
177860981	2020-01-23	2020-03-05	Auction - $350,000	
177861027	2020-01-23	2020-03-05	$475,000	
177861565	2020-01-23	2020-03-05	Auction - $945,000	
177861632	2020-01-23	2020-03-05	Auction - $750,000	
177863359	2020-01-23	2020-03-11	$600,000	
177863701	2020-01-23	2020-03-11	$395,000	
177854821	2020-01-24	2020-03-05	Auction - $700,000	
177860493	2020-01-24	2020-03-05	$644,888	
177865717	2020-01-24	2020-03-05	Auction - $1,240,000	
177865831	2020-01-24	2020-03-05	Auction - $718,000	
177868424	2020-01-24	2020-03-05	$540,000	
177949709	2020-01-24	2020-03-05	$585,000	
177871853	2020-01-27	2020-03-05	Auction - $610,000	
177872225	2020-01-27	2020-03-05	By Negotiation	
177873893	2020-01-27	2020-03-05	Auction	
177860593	2020-01-28	2020-03-05	$990,000	
177870813	2020-01-28	2020-03-05	$525,000	
177872686	2020-01-28	2020-03-05	$400,000	
177873666	2020-01-28	2020-03-05	By Negotiation	
177874184	2020-01-28	2020-03-05	Auction	
177875279	2020-01-28	2020-03-05	Auction - $910,000	
177875586	2020-01-28	2020-03-05	$521,000	
177879218	2020-01-28	2020-03-05	Auction - $1,008,000	
177879320	2020-01-28	2020-03-05	$565,000	
177879379	2020-01-28	2020-03-05	Auction - $530,000	
177879410	2020-01-28	2020-03-05	$481,000	
177879473	2020-01-28	2020-03-05	$870,000	
177879607	2020-01-28	2020-03-05	By Negotiation	
177879636	2020-01-28	2020-03-05	Auction - $1,270,000	
177879637	2020-01-28	2020-03-05	$571,300	
177879646	2020-01-28	2020-03-05	$807,000	
177880810	2020-01-28	2020-03-05	Auction	
177879624	2020-01-29	2020-03-05	Auction - $915,000	
177879959	2020-01-29	2020-03-05	$452,000	
177880002	2020-01-29	2020-03-05	Auction - Sold Prior - $635,000	
177881043	2020-01-29	2020-03-05	By Negotiation	
177881131	2020-01-29	2020-03-05	$365,000	
177881223	2020-01-29	2020-03-05	Auction - $645,000	
177881516	2020-01-29	2020-03-05	$705,000	
177881526	2020-01-29	2020-03-05	Auction - $624,000	
177882156	2020-01-29	2020-03-11	$520,000	
177882757	2020-01-29	2020-03-05	Auction - $630,000	
177882781	2020-01-29	2020-03-05	$320,000	
177886102	2020-01-29	2020-03-05	Auction	
177886104	2020-01-29	2020-03-05	Auction	
177886203	2020-01-29	2020-03-05	Auction	
177886204	2020-01-29	2020-03-05	Auction	
177886219	2020-01-29	2020-03-11	$575,000	
177886241	2020-01-29	2020-03-11	$351,500	
177886273	2020-01-29	2020-03-05	Auction	
