ListingId	ListingDate	SaleDate	SaleAmount	Slug
179072686	2021-01-04	2021-09-20	$520,000	unit-33-28-30-lonsdale-street-braddon-act-2612
179840737	2021-01-22	2021-09-15	$2,200,000	estate-27-7-state-circle-forrest-act-2603?tid=179840737
180036307	2021-01-22	2021-10-29	$1,099,000	estate-28-7-state-circle-forrest-act-2603?tid=180036307
179840740	2021-01-28	2021-08-31	$799,000	kingsborough-103-10-parbery-street-kingston-act-2604?tid=179840740
180042100	2021-01-29	2021-11-01	$679,000	the-parade-campbell-5-type-14-campbell-act-2612?tid=180042100
180081019	2021-01-29	2021-11-11	$595,000	the-parade-campbell-5-type-10-campbell-act-2612?tid=180081019
179986749	2021-02-11	2021-10-15	$545,000	11-irving-street-phillip-act-2606?tid=179986749
179827957	2021-02-16	2021-08-24	$499,900	39-braybrooke-street-bruce-act-2617?tid=179827957
179979175	2021-02-16	2021-10-17	$345,000	39-braybrooke-street-bruce-act-2617?tid=179979175
179831557	2021-02-25	2021-08-24	$359,900	northedge-villas-type-d-taylor-act-2913?tid=179831557
179269224	2021-03-02	2021-11-11	Auction	unit-3-151-shackleton-circuit-mawson-act-2607
179271345	2021-03-04	2021-10-05	$704,000	unit-719-45-ainslie-avenue-braddon-act-2612
179916508	2021-03-10	2021-09-22	$1,899,900	park-avenue-159-20-allara-street-city-act-2601?tid=179916508
179328978	2021-03-18	2021-09-30	$610,000	unit-363-321-cooyong-street-reid-act-2612
179329527	2021-03-18	2021-09-07	$342,000	unit-26-41-chandler-street-belconnen-act-2617
179319703	2021-03-19	2021-09-30	$1,655,000	unit-1-49-blamey-crescent-campbell-act-2612
179958144	2021-03-22	2021-10-08	$549,900	renaissance-apartment-68-under-construction-griffith-act-2603?tid=179958144
179854359	2021-03-23	2021-09-03	$554,900	parque-unit-1-moncrieff-act-2914?tid=179854359
179861516	2021-03-23	2021-09-03	$600,000	parque-unit-13-moncrieff-act-2914?tid=179861516
179844468	2021-03-24	2021-09-03	$549,900	parque-unit-28-moncrieff-act-2914?tid=179844468
179883560	2021-03-24	2021-09-14	$549,900	parque-unit-26-moncrieff-act-2914?tid=179883560
179358936	2021-03-26	2021-09-28	$1,125,000	12-ledgar-rise-taylor-act-2913
179916509	2021-03-30	2021-09-22	$519,900	park-avenue-164-20-allara-street-city-act-2601?tid=179916509
179925391	2021-04-01	2021-09-28	$1,099,000	sierra-terrace-home-18-leahy-close-narrabundah-act-2604?tid=179925391
179928784	2021-04-01	2021-09-28	$1,159,000	sierra-terrace-home-20-leahy-close-narrabundah-act-2604?tid=179928784
179399552	2021-04-09	2021-08-31	$799,000	10-parbery-street-kingston-act-2604
179419011	2021-04-15	2021-09-24	By Negotiation	unit-602-53-mort-street-braddon-act-2612
179419461	2021-04-15	2021-09-21	$360,000	unit-360-15-bowes-street-phillip-act-2606
179394677	2021-04-23	2021-08-20	$479,000	unit-701-104-northbourne-avenue-braddon-act-2612
179463235	2021-04-28	2021-09-21	$479,000	unit-1210-120-eastern-valley-way-belconnen-act-2617
179465756	2021-04-29	2021-10-15	By Negotiation	unit-7-27-david-street-o-connor-act-2602
179456613	2021-04-30	2021-10-29	By Negotiation	31-trinca-street-denman-prospect-act-2611
179469210	2021-04-30	2021-08-30	By Negotiation	unit-5-9-oliver-street-lyneham-act-2602
179478577	2021-05-04	2021-09-15	$935,000	taylor-act-2913?tid=179478577
179469789	2021-05-05	2021-08-17	$340,000	unit-93-6-10-eyre-street-griffith-act-2603
179491566	2021-05-06	2021-10-20	$295,000	unit-21-41-david-street-o-connor-act-2602
179496903	2021-05-07	2021-08-24	$347,000	unit-101-140-thynne-street-bruce-act-2617
179503387	2021-05-11	2021-10-18	By Negotiation	unit-130-264-city-walk-city-act-2601
179906928	2021-05-11	2021-09-20	$499,900	park-avenue-126-20-allara-street-city-act-2601?tid=179906928
179510725	2021-05-12	2021-08-24	$350,000	unit-74-41-chandler-street-belconnen-act-2617
180050700	2021-05-12	2021-11-05	$665,000	grand-central-towers-1708-15-bowes-street-woden-act-2606?tid=180050700
179504295	2021-05-13	2021-09-15	$425,000	unit-1-21-braybrooke-street-bruce-act-2617?tid=179504295
179512881	2021-05-13	2021-10-25	By Negotiation	level-b-unit-2102-15-bowes-street-phillip-act-2606
179977861	2021-05-13	2021-10-13	$1,270,000	7-donaldson-street-braddon-act-2612?tid=179977861
179532162	2021-05-19	2021-08-31	$396,000	unit-152-15-irving-street-phillip-act-2606
179538139	2021-05-20	2021-09-27	$1,310,000	42-phillip-avenue-downer-act-2602
179540974	2021-05-20	2021-10-14	$490,000	unit-1303-120-eastern-valley-way-belconnen-act-2617
179541765	2021-05-21	2021-11-02	$435,000	unit-124-1-kalma-way-campbell-act-2612
179888983	2021-05-25	2021-09-17	$699,900	park-avenue-74-20-allara-street-city-act-2601?tid=179888983
179545635	2021-05-26	2021-08-21	$316,800	unit-810-241-northbourne-avenue-lyneham-act-2602
179560585	2021-05-27	2021-10-07	By Negotiation	unit-27-16-new-south-wales-crescent-forrest-act-2603
179561375	2021-05-27	2021-11-16	$315,000	unit-310-50-eastlake-parade-kingston-act-2604
179561380	2021-05-27	2021-09-02	By Negotiation	level-b-unit-2304-15-bowes-street-phillip-act-2606
179543791	2021-05-28	2021-09-22	$1,155,000	4-baracchi-crescent-giralang-act-2617
179572636	2021-06-01	2021-10-07	$660,000	level-b-unit-14-10-trevillian-quay-kingston-act-2604
179574526	2021-06-01	2021-10-18	$420,000	unit-12-53-mcmillan-crescent-griffith-act-2603
179577097	2021-06-02	2021-09-10	$380,000	level-b-unit-1127-15-bowes-street-phillip-act-2606
179563830	2021-06-03	2021-09-30	By Negotiation	unit-262-1-anthony-rolfe-avenue-gungahlin-act-2912
179580122	2021-06-03	2021-10-08	$390,000	unit-17-84-northbourne-avenue-braddon-act-2612
179580516	2021-06-03	2021-08-31	$310,000	unit-62-126-thynne-street-bruce-act-2617
179580794	2021-06-03	2021-09-08	$618,000	unit-10-65-constitution-avenue-campbell-act-2612
179581120	2021-06-03	2021-09-17	$1,345,000	15-van-praag-place-gordon-act-2906
179581327	2021-06-03	2021-11-02	$701,000	unit-98-45-west-row-city-act-2601
179581435	2021-06-03	2021-09-06	By Negotiation	20-scottsdale-street-lyons-act-2606
179928779	2021-06-03	2021-09-27	$645,000	15-bowman-street-macquarie-act-2614
179584888	2021-06-04	2021-10-25	$610,000	unit-92-11-trevillian-quay-kingston-act-2604
179845978	2021-06-07	2021-09-05	$620,000	2-gribble-street-gungahlin-act-2912?tid=179845978
179596630	2021-06-09	2021-10-22	$640,000	unit-121-43-currong-street-north-braddon-act-2612
179596780	2021-06-09	2021-09-16	$292,000	unit-120-84-northbourne-avenue-braddon-act-2612
179602697	2021-06-10	2021-08-17	By Negotiation	unit-33-12-albermarle-place-phillip-act-2606
179603961	2021-06-10	2021-10-15	$985,000	8-don-gazzard-view-taylor-act-2913
179605617	2021-06-10	2021-10-12	By Negotiation	123-lionel-rose-street-strathnairn-act-2615
179602820	2021-06-11	2021-10-25	$1,480,000	9-walter-hood-lane-red-hill-act-2603
179608488	2021-06-11	2021-09-08	$390,000	unit-308-222-city-walk-city-act-2601
179610849	2021-06-11	2021-09-04	By Negotiation	3-buhrich-street-taylor-act-2913
180076547	2021-06-11	2021-11-10	$629,900	debut-huge-2-bedroom-townhome-with-oversized-garage-wright-act-2611?tid=180076547
179584774	2021-06-15	2021-10-22	$798,000	27b-arabana-street-aranda-act-2614
179621270	2021-06-17	2021-09-01	By Negotiation	unit-3-19-bural-court-ngunnawal-act-2913
179625507	2021-06-17	2021-09-01	By Negotiation	unit-250-1-anthony-rolfe-avenue-gungahlin-act-2912
179625754	2021-06-17	2021-09-07	By Negotiation	unit-57-75-elizabeth-jolley-crescent-franklin-act-2913
179627098	2021-06-17	2021-08-24	$675,000	unit-54-11-kerridge-street-kingston-act-2604
179635722	2021-06-21	2021-08-19	By Negotiation	unit-702-2-batman-street-braddon-act-2612
179636268	2021-06-21	2021-08-31	$760,000	49-harry-hopman-circuit-gordon-act-2906
179645313	2021-06-23	2021-10-13	By Negotiation	3-cluff-street-denman-prospect-act-2611
179991217	2021-06-23	2021-10-15	$1,335,000	19-haswell-place-chifley-act-2606?tid=179991217
179619669	2021-06-24	2021-11-11	$755,000	67-macgregor-street-deakin-act-2600?tid=179619669
179635155	2021-06-24	2021-09-20	$520,000	unit-207-22-24-lonsdale-street-braddon-act-2612
179649704	2021-06-24	2021-08-27	By Negotiation	unit-41-2-eardley-street-bruce-act-2617?tid=179649704
179649929	2021-06-24	2021-08-24	$1,580,000	51-jorgensen-street-moncrieff-act-2914
179650717	2021-06-24	2021-08-20	$356,000	unit-86-41-chandler-street-belconnen-act-2617
179650782	2021-06-24	2021-08-24	$370,500	unit-83-311-flemington-road-franklin-act-2913
179641344	2021-06-25	2021-10-25	$1,600,000	31-flinders-way-griffith-act-2603
179654294	2021-06-25	2021-10-18	By Negotiation	unit-15-16-new-south-wales-crescent-forrest-act-2603
179662667	2021-06-29	2021-08-18	$459,000	unit-60-39-woodberry-avenue-coombs-act-2611
179666669	2021-06-30	2021-09-29	$970,000	40-bacchus-circuit-kambah-act-2902
179666817	2021-06-30	2021-09-07	$317,500	unit-1-566-cotter-road-wright-act-2611
179673010	2021-07-01	2021-10-13	$501,000	unit-2602-120-eastern-valley-way-belconnen-act-2617
179673208	2021-07-01	2021-10-22	By Negotiation	unit-8-41-leahy-close-narrabundah-act-2604
179673290	2021-07-01	2021-11-13	By Negotiation	unit-6-89-allan-street-curtin-act-2605
179673301	2021-07-01	2021-07-05	$876,500	9-simonetti-street-dunlop-act-2615
179666854	2021-07-02	2021-09-09	$720,000	unit-2-119-kelleway-avenue-nicholls-act-2913
179677410	2021-07-02	2021-10-13	$544,000	unit-11-77-northbourne-avenue-turner-act-2612
179682066	2021-07-05	2021-09-29	$455,000	unit-18-43-constitution-avenue-reid-act-2612
179683827	2021-07-05	2021-10-22	$1,375,000	13-niland-street-whitlam-act-2611
179981944	2021-07-06	2021-10-15	$1,350,900	illume-unit-19-3-bedroom-apartment-griffith-act-2603?tid=179981944
179690849	2021-07-07	2021-09-10	By Negotiation	unit-52-2-eardley-street-bruce-act-2617
179690907	2021-07-07	2021-08-27	$888,500	55-solomon-crescent-latham-act-2615
179682126	2021-07-08	2021-10-14	$556,500	unit-215-19-marcus-clarke-street-city-act-2601
179694884	2021-07-08	2021-09-14	By Negotiation	unit-58-14-national-circuit-barton-act-2600
179694976	2021-07-08	2021-08-31	By Negotiation	unit-35-98-corinna-street-phillip-act-2606
179695057	2021-07-08	2021-10-22	By Negotiation	unit-22-5-kerridge-street-kingston-act-2604
179695227	2021-07-08	2021-09-17	By Negotiation	unit-173-1-mouat-street-lyneham-act-2602
179695421	2021-07-08	2021-08-23	By Negotiation	24-piddington-street-watson-act-2602
179695782	2021-07-08	2021-11-15	$410,000	unit-52-35-torrens-street-braddon-act-2612
179696551	2021-07-08	2021-09-07	$508,000	level-a-unit-1411-15-bowes-street-phillip-act-2606
179696697	2021-07-08	2021-08-18	$422,500	unit-29-68-college-street-belconnen-act-2617
179692644	2021-07-09	2021-10-17	$690,000	unit-5-7-joy-cummings-place-belconnen-act-2617
179699150	2021-07-09	2021-09-13	By Negotiation	unit-4-16-david-miller-crescent-casey-act-2913
179699209	2021-07-09	2021-10-27	By Negotiation	unit-57-72-wentworth-avenue-kingston-act-2604
179704067	2021-07-12	2021-10-27	$950,000	60-mileham-street-macgregor-act-2615
179705011	2021-07-12	2021-08-18	$372,000	unit-74-311-flemington-road-franklin-act-2913
180085573	2021-07-12	2021-11-15	$325,000	summerfield-unit-31-ground-floor-1-bedroom-apartment-taylor-act-2913?tid=180085573
179667718	2021-07-13	2021-08-20	$935,000	59-pandanus-street-fisher-act-2611
179928818	2021-07-13	2021-09-27	$665,555	15-bowman-street-macquarie-act-2614?tid=179928818
179619671	2021-07-14	2021-10-28	$427,000	unit-1-41-philip-hodgins-street-wright-act-2611
179703384	2021-07-14	2021-10-19	$580,000	level-a-unit-11-18-austin-street-griffith-act-2603
179713442	2021-07-14	2021-10-11	$2,565,000	63-cygnet-crescent-red-hill-act-2603
179714672	2021-07-14	2021-09-29	By Negotiation	33-mirrool-street-duffy-act-2611
179714934	2021-07-14	2021-08-26	$1,275,000	27-glover-street-lyneham-act-2602
179716336	2021-07-14	2021-09-03	By Negotiation	unit-24-5-burbury-close-barton-act-2600?tid=179716336
179716536	2021-07-14	2021-09-12	$1,287,000	1-lacewing-street-wright-act-2611
179659080	2021-07-15	2021-09-19	$1,200,000	6-spooner-street-taylor-act-2913
179716284	2021-07-15	2021-08-23	$495,000	unit-228-30-philip-hodgins-street-wright-act-2611
179716464	2021-07-15	2021-11-08	$471,000	unit-19-30-blackall-street-barton-act-2600
179716614	2021-07-15	2021-09-29	By Negotiation	unit-56-39-jerrabomberra-avenue-narrabundah-act-2604
179716737	2021-07-15	2021-08-25	By Negotiation	unit-137-7-irving-street-phillip-act-2606
179716826	2021-07-15	2021-08-30	$535,000	unit-30-15-stockman-avenue-lawson-act-2617
179718101	2021-07-15	2021-08-27	$640,000	unit-403-47-currong-street-north-braddon-act-2612
179718106	2021-07-15	2021-08-17	By Negotiation	46-tepper-circuit-kambah-act-2902
179718189	2021-07-15	2021-08-19	$495,000	level-a-unit-502-15-bowes-street-phillip-act-2606
179691742	2021-07-16	2021-09-13	$435,000	unit-97-22-eyre-street-kingston-act-2604
179703378	2021-07-16	2021-08-27	Auction - $1,702,500	4-scott-street-narrabundah-act-2604?tid=179703378
179710508	2021-07-16	2021-09-27	$840,000	8-barlee-place-stirling-act-2611
179716850	2021-07-16	2021-09-14	$575,000	unit-12-6-ellison-harvie-close-greenway-act-2900
179722046	2021-07-16	2021-10-30	$310,000	unit-309-38-gozzard-street-gungahlin-act-2912
179722796	2021-07-16	2021-09-24	By Negotiation	2-duterrau-crescent-lyneham-act-2602
179722941	2021-07-16	2021-08-23	By Negotiation	unit-7-23-ebenezer-street-bonython-act-2905
179944141	2021-07-16	2021-10-05	$699,900	park-avenue-last-remaining-2-bedroom-apartment-city-act-2601?tid=179944141
179698941	2021-07-19	2021-10-14	$750,000	unit-1407-2-marcus-clarke-street-city-act-2601
179721203	2021-07-19	2021-10-26	$489,000	unit-15-19-state-circle-forrest-act-2603
179722050	2021-07-19	2021-10-22	$665,000	unit-12-20-allara-street-city-act-2601
179725074	2021-07-19	2021-08-30	$735,000	unit-6-19-eastlake-parade-kingston-act-2604
179725592	2021-07-19	2021-08-19	$495,000	unit-307-82-thynne-street-bruce-act-2617
179890883	2021-07-19	2021-09-16	$945,000	3-d-arcy-place-chifley-act-2606?tid=179890883
179722052	2021-07-20	2021-09-23	By Negotiation	unit-9-2-buik-place-belconnen-act-2617
179722054	2021-07-20	2021-09-30	$510,000	unit-710-25-edinburgh-avenue-city-act-2601
179728195	2021-07-20	2021-09-23	$550,000	unit-93-2-hinder-street-gungahlin-act-2912
179728676	2021-07-20	2021-08-23	$790,000	47-cynthea-teague-crescent-greenway-act-2900
179728922	2021-07-20	2021-11-12	$522,000	unit-119-57-benjamin-way-belconnen-act-2617
179979172	2021-07-20	2021-10-14	$1,270,000	the-parade-campbell-5-g01-4-anzac-parade-campbell-act-2612?tid=179979172
179725270	2021-07-21	2021-11-03	$525,000	unit-60-45-blackall-street-barton-act-2600
179732398	2021-07-21	2021-08-27	$500,000	unit-66-44-marie-little-crescent-denman-prospect-act-2611
179732505	2021-07-21	2021-08-18	$341,000	unit-119-64-college-street-belconnen-act-2617
179733768	2021-07-21	2021-09-27	By Negotiation	unit-45-3-burbury-close-barton-act-2600
179651096	2021-07-22	2021-08-20	$475,000	unit-1324-240-bunda-street-city-act-2601
179697596	2021-07-22	2021-09-01	$420,000	unit-136-1-braybrooke-street-bruce-act-2617
179720884	2021-07-22	2021-09-07	$600,000	unit-49a-12-albermarle-place-phillip-act-2606
179722053	2021-07-22	2021-08-25	$440,000	unit-26-26-macquarie-street-barton-act-2600
179725274	2021-07-22	2021-10-25	$2,025,000	27-lawley-street-deakin-act-2600
179732619	2021-07-22	2021-10-05	$940,000	unit-167-53-eyre-street-kingston-act-2604
179735723	2021-07-22	2021-08-26	$720,000	6-findon-place-isabella-plains-act-2905
179735767	2021-07-22	2021-08-23	Auction - $976,000	152-jabanungga-avenue-ngunnawal-act-2913
179735783	2021-07-22	2021-10-03	By Negotiation	-shackleton-circuit-mawson-act-2607?tid=179735783
179735829	2021-07-22	2021-10-09	Auction	16-negus-crescent-watson-act-2602
179735961	2021-07-22	2021-10-19	$891,000	97-o-halloran-circuit-kambah-act-2902
179736133	2021-07-22	2021-09-03	$370,000	level-a-unit-105-15-bowes-street-phillip-act-2606
179736187	2021-07-22	2021-09-02	$780,000	6-maynard-street-ngunnawal-act-2913
179736581	2021-07-22	2021-08-20	$505,000	level-b-unit-514-15-bowes-street-phillip-act-2606
179736916	2021-07-22	2021-09-28	$605,000	9-syddall-street-bonner-act-2914
179725273	2021-07-23	2021-10-25	$765,000	unit-11-17-eastlake-parade-kingston-act-2604
179741188	2021-07-23	2021-08-25	$625,000	unit-10-8-gould-street-turner-act-2612
179741619	2021-07-23	2021-08-25	$552,500	unit-417-8-cape-street-dickson-act-2602
179925390	2021-07-23	2021-09-27	$369,900	wova-woden-comes-to-life-woden-act-2606?tid=179925390
179928821	2021-07-23	2021-09-27	$513,900	wova-woden-revamped-woden-act-2606?tid=179928821
179981980	2021-07-23	2021-10-15	$510,900	aspen-village-the-peak-of-luxury-greenway-act-2900?tid=179981980
180024938	2021-07-23	2021-10-26	$779,900	the-melrose-2-bedroom-apartment-type-2i-phillip-act-2606?tid=180024938
180026310	2021-07-23	2021-10-28	$499,900	metropol-g18-81-cooyong-street-reid-act-2612?tid=180026310
